variable,subdomain,is_summary,mean_pct_missing,n_subjects_2+_waves,mean_waves_per_subject,mean_variance,miss_score,long_score,var_score,summary_bonus,composite_score
nt_y_stq__socmed_002___4,social_media,False,88.75333333333333,0,1.0,0.1342,0.10894420543381844,0.0,3.918306839338724e-14,0.0,0.032683261630153365
nt_y_stq__socmed_002___1,social_media,False,88.75333333333333,0,1.0,0.1325,0.10894420543381844,0.0,3.864932467328501e-14,0.0,0.03268326163015326
nt_y_stq__socmed_002___8,social_media,False,88.75333333333333,0,1.0,0.1,0.10894420543381844,0.0,2.844540061250708e-14,0.0,0.03268326163015122
nt_y_stq__socmed_002___10,social_media,False,88.75333333333333,0,1.0,0.0637,0.10894420543381844,0.0,1.7048402353853582e-14,0.0,0.03268326163014894
nt_y_stq__socmed_002___7,social_media,False,88.75333333333333,0,1.0,0.0177,0.10894420543381844,0.0,2.6059252216755932e-15,0.0,0.03268326163014605
nt_y_stq__socmed_001__09,social_media,False,90.82333333333334,0,1.0,2.5943,0.08815307096104608,0.0,8.115730247601496e-13,0.0,0.026445921288476136
nt_y_stq__socmed_001__10,social_media,False,90.82333333333334,0,1.0,1.7501,0.08815307096104608,0.0,5.465221726952657e-13,0.0,0.026445921288423126
nt_y_stq__socmed_001__05,social_media,False,90.82333333333334,0,1.0,1.512,0.08815307096104608,0.0,4.717666551915358e-13,0.0,0.026445921288408173
nt_y_stq__socmed_001__02,social_media,False,90.82333333333334,0,1.0,1.3052,0.08815307096104608,0.0,4.068383014755703e-13,0.0,0.02644592128839519
nt_y_stq__socmed_001__03,social_media,False,90.82333333333334,0,1.0,0.8709,0.08815307096104608,0.0,2.7048247933415947e-13,0.0,0.026445921288367917
nt_y_stq__socmed_001__11,social_media,False,90.82333333333334,0,1.0,0.4761,0.08815307096104608,0.0,1.4652834951277102e-13,0.0,0.026445921288343128
nt_y_stq__socmed_001__01,social_media,False,90.82333333333334,0,1.0,0.3069,0.08815307096104608,0.0,9.340515101789024e-14,0.0,0.0264459212883325
nt_y_stq__socmed_001__06,social_media,False,90.82333333333334,0,1.0,0.2574,0.08815307096104608,0.0,7.786378975609002e-14,0.0,0.026445921288329396
nt_y_stq__socmed_001__04,social_media,False,90.82333333333334,0,1.0,0.2247,0.08815307096104608,0.0,6.759707231647654e-14,0.0,0.026445921288327342
nt_y_stq__socmed_001__08,social_media,False,90.82333333333334,0,1.0,0.186,0.08815307096104608,0.0,5.544655351179636e-14,0.0,0.02644592128832491
